ticker,sector,industry,score,all_pass,①EMA並び,②出来高急増,③RS優位,④売買代金,⑤高値圏10-30%,現在値,52週高値,高値乖離%,出来高倍率,売買代金(M$),銘柄RS,SPY_RS,RS倍率
DMRA,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,31.04,38.33,19.0,0.55,59.7,9.183,1.22,7.528
SLS,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,12.78,15.88,19.5,0.72,369.4,7.84,1.22,6.427
STTK,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,7.42,8.33,10.9,1.08,32.6,7.42,1.22,6.082
BFLY,Healthcare,Medical Devices,5,True,✅,✅,✅,✅,✅,8.84,10.05,12.0,0.97,235.5,6.182,1.22,5.067
ARTV,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,11.45,14.53,21.2,0.58,23.9,4.164,1.22,3.413
LPTH,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,15.17,18.94,19.9,0.98,218.4,4.156,1.22,3.407
JUNS,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,5.24,6.1,14.1,0.01,13.8,4.062,1.22,3.33
VIAV,Technology,Communication Equipment,5,True,✅,✅,✅,✅,✅,43.54,60.43,27.9,0.65,1491.9,4.039,1.22,3.311
SEPN,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,44.5,51.1,12.9,2.19,63.0,3.797,1.22,3.112
TNGX,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,25.6,34.39,25.6,0.64,453.6,3.781,1.22,3.1
IMOS,Technology,Semiconductors,5,True,✅,✅,✅,✅,✅,58.36,78.35,25.5,1.22,29.3,3.688,1.22,3.023
AGL,Healthcare,Medical Care Facilities,5,True,✅,✅,✅,✅,✅,96.9,133.04,27.2,0.8,149.1,3.492,1.22,2.862
SITM,Technology,Semiconductors,5,True,✅,✅,✅,✅,✅,711.91,901.81,21.1,0.78,1655.2,3.215,1.22,2.635
COGT,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,37.93,43.73,13.3,0.89,410.6,3.19,1.22,2.615
ABSI,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,9.18,12.06,23.8,0.61,175.9,3.133,1.22,2.568
ONTO,Technology,Semiconductor Equipment & Materials,5,True,✅,✅,✅,✅,✅,331.71,386.46,14.2,0.97,1668.2,3.102,1.22,2.542
VSAT,Technology,Communication Equipment,5,True,✅,✅,✅,✅,✅,82.87,93.03,10.9,0.72,801.1,3.058,1.22,2.507
PSNL,Healthcare,Diagnostics & Research,5,True,✅,✅,✅,✅,✅,14.04,16.39,14.3,0.72,173.0,3.052,1.22,2.502
ALXO,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,1.96,2.66,26.3,0.83,11.5,3.043,1.22,2.495
APPS,Technology,Software - Application,5,True,✅,✅,✅,✅,✅,12.44,15.34,18.9,0.71,213.3,2.893,1.22,2.371
LQDA,Healthcare,Drug Manufacturers - Specialty & Generic,5,True,✅,✅,✅,✅,✅,74.44,93.61,20.5,1.72,552.3,2.869,1.22,2.351
VSTS,Industrials,Rental & Leasing Services,5,True,✅,✅,✅,✅,✅,13.33,16.9,21.1,1.65,88.6,2.848,1.22,2.335
SMTC,Technology,Semiconductors,5,True,✅,✅,✅,✅,✅,140.35,177.35,20.9,0.57,2039.6,2.817,1.22,2.309
KOPN,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,5.5,6.61,16.8,0.98,160.9,2.792,1.22,2.289
KLIC,Technology,Semiconductor Equipment & Materials,5,True,✅,✅,✅,✅,✅,99.09,135.8,27.0,0.75,475.4,2.784,1.22,2.282
DSGN,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,14.83,17.25,14.0,0.52,46.8,2.782,1.22,2.281
BTSG,Healthcare,Health Information Services,5,True,✅,✅,✅,✅,✅,61.71,73.75,16.3,0.89,999.4,2.75,1.22,2.254
AMLX,Healthcare,Drug Manufacturers - Specialty & Generic,5,True,✅,✅,✅,✅,✅,21.63,24.6,12.1,0.84,124.7,2.704,1.22,2.216
PENG,Technology,Information Technology Services,5,True,✅,✅,✅,✅,✅,63.8,89.86,29.0,0.49,852.0,2.684,1.22,2.2
MGNX,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,4.22,5.08,16.9,0.7,20.0,2.671,1.22,2.189
GH,Healthcare,Diagnostics & Research,5,True,✅,✅,✅,✅,✅,157.21,176.58,11.0,0.78,1547.0,2.67,1.22,2.189
PDFS,Technology,Software - Application,5,True,✅,✅,✅,✅,✅,50.9,71.69,29.0,0.73,170.3,2.63,1.22,2.156
MEI,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,17.14,20.31,15.6,0.66,49.0,2.625,1.22,2.152
PRE,Healthcare,Diagnostics & Research,5,True,✅,✅,✅,✅,✅,19.75,23.63,16.4,0.68,18.4,2.599,1.22,2.13
FLEX,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,126.16,166.86,24.4,0.48,3750.3,2.575,1.22,2.111
SLN,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,13.72,17.58,21.9,8.54,36.5,2.501,1.22,2.05
BLZE,Technology,Software - Infrastructure,5,True,✅,✅,✅,✅,✅,19.02,23.99,20.7,1.03,170.3,2.477,1.22,2.03
FTXL,その他,,5,True,✅,✅,✅,✅,✅,239.81,297.36,19.4,0.42,324.7,2.417,1.22,1.981
MOV,Consumer Cyclical,Luxury Goods,5,True,✅,✅,✅,✅,✅,36.13,40.5,10.8,0.7,35.6,2.405,1.22,1.971
GTE,Energy,Oil & Gas E&P,5,True,✅,✅,✅,✅,✅,9.19,11.52,20.2,1.76,27.0,2.387,1.22,1.957
FATE,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,2.57,3.23,20.4,0.51,36.0,2.358,1.22,1.933
AMDY,その他,,5,True,✅,✅,✅,✅,✅,47.0,54.15,13.2,0.69,79.5,2.354,1.22,1.93
AVR,Healthcare,Medical Instruments & Supplies,5,True,✅,✅,✅,✅,✅,9.4,11.06,15.0,0.81,43.8,2.327,1.22,1.907
ELIL,その他,,5,True,✅,✅,✅,✅,✅,29.52,33.58,12.1,0.77,14.4,2.315,1.22,1.898
TIGO,Communication Services,Telecom Services,5,True,✅,✅,✅,✅,✅,93.89,107.13,12.4,0.61,687.7,2.299,1.22,1.885
TSAT,Technology,Communication Equipment,5,True,✅,✅,✅,✅,✅,50.64,61.54,17.7,1.07,58.6,2.295,1.22,1.881
NWPX,Basic Materials,Steel,5,True,✅,✅,✅,✅,✅,116.16,152.03,23.6,0.84,102.9,2.254,1.22,1.847
CRS,Industrials,Metal Fabrication,5,True,✅,✅,✅,✅,✅,544.59,625.99,13.0,0.7,1777.7,2.246,1.22,1.841
BELFB,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,290.08,335.21,13.5,0.55,366.5,2.217,1.22,1.817
KRYS,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,332.27,382.54,13.1,0.43,577.7,2.211,1.22,1.813
FNKO,Consumer Cyclical,Leisure,5,True,✅,✅,✅,✅,✅,6.14,7.04,12.8,1.92,21.3,2.209,1.22,1.81
AEIS,Industrials,Electrical Equipment & Parts,5,True,✅,✅,✅,✅,✅,330.26,397.32,16.9,0.53,1340.5,2.185,1.22,1.791
MRVI,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,5.7,7.44,23.4,0.8,66.4,2.184,1.22,1.79
RELL,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,20.34,23.08,11.9,0.68,20.3,2.183,1.22,1.789
TH,Industrials,Specialty Business Services,5,True,✅,✅,✅,✅,✅,17.44,20.85,16.4,0.96,114.7,2.18,1.22,1.787
ELMD,Healthcare,Medical Devices,5,True,✅,✅,✅,✅,✅,41.22,47.4,13.0,0.71,14.2,2.177,1.22,1.785
AVTX,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,19.59,24.27,19.3,0.37,134.1,2.172,1.22,1.78
ANNX,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,5.29,7.18,26.3,0.86,82.8,2.168,1.22,1.777
BELFA,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,242.89,293.44,17.2,1.71,164.6,2.165,1.22,1.775
MPTI,Technology,Electronic Components,5,True,✅,✅,✅,✅,✅,88.54,104.85,15.6,1.4,63.7,2.148,1.22,1.761
STRZ,Communication Services,Entertainment,5,True,✅,✅,✅,✅,✅,26.0,32.58,20.2,2.0,19.1,2.124,1.22,1.741
CAT,Industrials,Farm & Heavy Construction Machinery,5,True,✅,✅,✅,✅,✅,856.57,1071.47,20.1,0.8,12526.1,2.119,1.22,1.737
MAMA,Consumer Defensive,Packaged Foods,5,True,✅,✅,✅,✅,✅,17.25,21.0,17.9,0.88,42.6,2.111,1.22,1.731
NVRI,Industrials,Waste Management,5,True,✅,✅,✅,✅,✅,20.59,24.2,14.9,0.61,92.1,2.105,1.22,1.726
MYE,Consumer Cyclical,Packaging & Containers,5,True,✅,✅,✅,✅,✅,33.0,37.45,11.9,0.84,50.5,2.104,1.22,1.724
BCAX,Healthcare,Biotechnology,5,True,✅,✅,✅,✅,✅,24.28,30.99,21.7,1.46,78.9,2.086,1.22,1.71
