ticker,sector,industry
AXTI,Technology,Semiconductor Equipment & Materials
BW,Industrials,Specialty Industrial Machinery
TERN,Healthcare,Biotechnology
CELC,Healthcare,Biotechnology
LITE,Technology,Communication Equipment
PL,Industrials,Aerospace & Defense
RLMD,Healthcare,Biotechnology
AEHR,Technology,Semiconductor Equipment & Materials
MXL,Technology,Semiconductors
TE,Industrials,Electrical Equipment & Parts
LPTH,Technology,Electronic Components
OSS,Technology,Computer Hardware
TSEM,Technology,Semiconductors
NVTS,Technology,Semiconductors
SIF,Industrials,Aerospace & Defense
VICR,Technology,Electronic Components
MVLL,その他,
SATS,Communication Services,Telecom Services
RLYB,Healthcare,Biotechnology
XMAX,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
DOCN,Technology,Software - Infrastructure
EVC,Communication Services,Advertising Agencies
NRGV,Utilities,Utilities - Renewable
NBIS,Communication Services,Internet Content & Information
LASR,Technology,Semiconductors
AIP,Technology,Semiconductors
DGXX,Utilities,Utilities - Independent Power Producers
DLLL,その他,
HYLN,Consumer Cyclical,Auto Parts
SYRE,Healthcare,Biotechnology
COHR,Technology,Scientific & Technical Instruments
DNTH,Healthcare,Biotechnology
TER,Technology,Semiconductor Equipment & Materials
FCEL,Industrials,Electrical Equipment & Parts
GSAT,Communication Services,Telecom Services
OCC,Technology,Communication Equipment
BAND,Technology,Software - Infrastructure
VISN,Technology,Communication Equipment
SIMO,Technology,Semiconductors
NESR,Energy,Oil & Gas Equipment & Services
VPG,Technology,Scientific & Technical Instruments
TOYO,Technology,Solar
RFIL,Industrials,Electrical Equipment & Parts
UCTT,Technology,Semiconductor Equipment & Materials
SMTC,Technology,Semiconductors
ICHR,Technology,Semiconductor Equipment & Materials
SLS,Healthcare,Biotechnology
BLDP,Industrials,Electrical Equipment & Parts
GLW,Technology,Electronic Components
HYDR,その他,
QUIK,Technology,Semiconductors
STRL,Industrials,Engineering & Construction
LQDA,Healthcare,Drug Manufacturers - Specialty & Generic
FET,Energy,Oil & Gas Equipment & Services
BELFA,Technology,Electronic Components
CTNM,Healthcare,Biotechnology
ELA,Consumer Cyclical,Luxury Goods
RVMD,Healthcare,Biotechnology
ASMG,その他,
CVGI,Consumer Cyclical,Auto Parts
BELFB,Technology,Electronic Components
SITM,Technology,Semiconductors
AMKR,Technology,Semiconductor Equipment & Materials
OUST,Technology,Electronic Components
ACRS,Healthcare,Biotechnology
TSMX,その他,
VSH,Technology,Semiconductors
CYD,Consumer Cyclical,Auto Manufacturers
AP,Industrials,Metal Fabrication
TSAT,Technology,Communication Equipment
TSMU,その他,
INDV,Healthcare,Drug Manufacturers - Specialty & Generic
LXRX,Healthcare,Biotechnology
WTI,Energy,Oil & Gas E&P
GCTS,Technology,Semiconductors
AGX,Industrials,Engineering & Construction
MRVL,Technology,Semiconductors
SION,Healthcare,Biotechnology
FLEX,Technology,Electronic Components
EWY,その他,
AMDY,その他,
VRT,Industrials,Electrical Equipment & Parts
INTT,Technology,Semiconductor Equipment & Materials
VECO,Technology,Semiconductor Equipment & Materials
CNTA,Healthcare,Biotechnology
LSCC,Technology,Semiconductors
FTXL,その他,
SILC,Technology,Communication Equipment
PUMP,Energy,Oil & Gas Equipment & Services
PENG,Technology,Information Technology Services
MGNX,Healthcare,Biotechnology
CECO,Industrials,Pollution & Treatment Controls
NEXA,Basic Materials,Other Industrial Metals & Mining
SSL,Basic Materials,Specialty Chemicals
NOK,Technology,Communication Equipment
SANM,Technology,Electronic Components
